Ref,x1,y1,x2,y2,Connectivity,Integration [HH],Line Length,Mean Depth,Node Count,RA,Total Depth
0,530635.696268,184468.675646,530732.377854,183731.866556,5,1.8732555,743.12512,2.8499999,61,0.062711865,171
1,530655.080407,184267.843134,531386.664678,184568.766995,6,1.9432838,791.0567,2.7833333,61,0.060451977,167
2,530781.419478,184322.997346,530814.78724,184178.968574,4,1.3502036,147.84348,3.5666666,61,0.087005652,214
3,530667.76131,184203.901437,531124.686107,184392.857349,4,1.7621301,494.45386,2.9666667,61,0.06666667,178
4,530798.725861,184207.390438,530856.762846,184149.487013,3,1.0608743,81.982307,4.2666669,61,0.11073446,256
5,530747.870324,184145.998012,530810.755405,184207.340453,3,1.0608743,87.848892,4.2666669,61,0.11073446,256
6,530753.938689,184164.022852,530781.427723,183967.049235,3,1.2914991,198.88251,3.6833334,61,0.09096045,221
7,530638.070845,184123.954322,531070.977779,184116.826362,7,1.8732555,432.96561,2.8499999,61,0.062711865,171
8,530837.494138,183967.908989,530855.674498,184153.675814,3,1.2914991,186.65433,3.6833334,61,0.09096045,221
9,530776.925919,183970.168342,530838.112518,183968.488823,3,1.2525985,61.209644,3.7666667,61,0.093785308,226
10,530803.879024,183673.983124,530817.351454,183970.908131,5,1.5752376,297.2305,3.2,61,0.074576274,192
11,530803.31836,183742.403539,530916.415863,183745.002795,2,1.3328934,113.12737,3.5999999,61,0.088135593,216
12,530912.186147,183663.646083,530932.996681,184418.919889,9,2.0587263,755.56042,2.6833334,61,0.057062145,161
13,530995.213912,184191.1051,531426.867596,184272.091918,4,1.5633937,439.18533,3.2166667,61,0.075141244,193
14,530992.995991,184260.565217,531006.303519,184067.090599,2,1.3679695,193.93173,3.5333333,61,0.085875705,212
15,531065.503058,184264.454104,531069.386482,184200.262479,3,1.1060178,64.308983,4.1333332,61,0.10621469,248
16,531014.260003,184282.658893,531076.262863,184252.777446,2,1.0718112,68.827721,4.2333331,61,0.10960452,254
17,531055.856337,184254.05708,531446.820644,184352.768824,4,1.506749,403.23331,3.3,61,0.077966101,198
18,531101.674141,184455.949289,531227.444303,184068.530187,8,2.235821,407.3226,2.55,61,0.052542374,153
19,531214.16151,184067.600453,531445.270572,184127.80322,6,2.0187511,238.82162,2.7166667,61,0.058192089,163
20,531166.28244,183883.173244,531225.605654,184081.636435,7,2.3363075,207.13977,2.4833333,61,0.050282486,149
21,531103.958023,183944.145791,531189.244935,183939.966987,1,1.4049417,85.389229,3.4666667,61,0.083615817,208
22,531274.235025,184528.638482,531297.510832,184441.573404,1,1.2525985,90.122643,3.7666667,61,0.093785308,226
23,531332.577077,184583.962646,531443.794706,184125.074001,7,2.1659517,472.17386,2.5999999,61,0.054237287,156
24,531026.454449,184114.297086,531441.626255,184200.71235,6,2.0793135,424.06982,2.6666667,61,0.056497175,160
25,531379.087467,183726.907975,531438.204555,184206.79061,8,2.28496,483.51025,2.5166667,61,0.05141243,151
26,531370.314722,183511.419658,531409.569458,184011.596484,5,1.8080988,501.71484,2.9166667,61,0.064971752,175
27,531287.1303,183716.111065,531396.253684,183759.488649,5,1.5517266,117.42882,3.2333333,61,0.075706214,194
28,531294.394199,183777.773415,531391.413833,183726.268158,5,1.5872623,109.84353,3.1833334,61,0.074011296,191
29,531303.999695,183967.539095,531311.931444,183765.686875,4,1.5177472,202.008,3.2833333,61,0.077401131,197
30,531069.774,183880.95388,531403.294966,183913.414588,9,2.1887512,335.09689,2.5833333,61,0.053672317,155
31,531055.773886,183973.477395,531081.160429,183854.721389,3,1.5872623,121.43914,3.1833334,61,0.074011296,191
32,530979.070082,183853.471746,531006.056167,183971.198048,2,1.4049417,120.77968,3.4666667,61,0.083615817,208
33,531002.370625,183965.559662,531057.760946,183972.597647,2,1.1060178,55.835659,4.1333332,61,0.10621469,248
34,530675.049944,183881.16382,531237.536258,183892.420597,10,2.28496,562.59894,2.5166667,61,0.05141243,151
35,531246.803707,183901.647956,531247.100529,183877.364907,1,1.3502036,24.284863,3.5666666,61,0.087005652,214
36,531378.13104,184039.148597,531423.297484,184035.389673,2,1.414499,45.32259,3.45,61,0.083050847,207
37,531365.837654,184048.645878,531385.988583,184035.489644,2,1.0718112,24.065462,4.2333331,61,0.10960452,254
38,531360.008395,184112.477607,531368.607994,184041.148025,2,1.3077444,71.8461,3.6500001,61,0.08983051,219
39,531176.638237,183932.709065,531212.594948,183499.852969,6,1.9432838,434.34695,2.7833333,61,0.060451977,167
40,531191.28971,183523.406227,531385.782456,183575.241389,4,1.5633937,201.28168,3.2166667,61,0.075141244,193
41,530904.180192,183681.79089,531226.595062,183515.558473,5,1.718441,362.74588,3.0166667,61,0.06836158,181
42,531087.294754,183504.461649,531157.699331,183893.960157,3,1.6244638,395.81042,3.1333334,61,0.072316386,188
43,531029.208299,183891.140964,531030.230687,183855.631128,1,1.3862091,35.524551,3.5,61,0.084745765,210
44,531182.681866,183748.751722,531275.851057,183743.153325,3,1.3590285,93.337242,3.55,61,0.086440675,213
